Operational units,Operational units Total,2009,,1317.7,
Total gross administrative budget,Total gross administrative budget,2009,,2457.7,
Total administrative budget,Total administrative budget,2009,,2148.7,
Operational units,Operational units Total,2010,,1386.6,
Total administrative budget,Total administrative budget,2010,,2301,
Total gross administrative budget,Total gross administrative budget,2010,,2632.1,
Operational units,Operational units Total,2011,,1395.1,
Total administrative budget,Total administrative budget,2011,,2313.1,
Total gross administrative budget,Total gross administrative budget,2011,,2658.1,
Operational units,Operational units Total,2012,,1438.8,
Total gross administrative budget,Total gross administrative budget,2012,,2742,
Total administrative budget,Total administrative budget,2012,,2364.2,
Operational units,Operational units Total,2013,,1452.3,
Total gross administrative budget,Total gross administrative budget,2013,,2925.1,
Total administrative budget,Total administrative budget,2013,,2495,
Operational units,Operational units Total,2014,,1492.4,
Total gross administrative budget,Total gross administrative budget,2014,,3046.5,
Total administrative budget,Total administrative budget,2014,,2557.2,
Operational units,Operational units Total,2015,,1423.2,
Total gross administrative budget,Total gross administrative budget,2015,,3033.2,
Total administrative budget,Total administrative budget,2015,,2526,
Operational units,Operational units Total,2016,,1364.7,
Total gross administrative budget,Total gross administrative budget,2016,,2962.7,
Total administrative budget,Total administrative budget,2016,,2469.8,
Operational units,Operational units Total,2017,,1419.7,
Total gross administrative budget,Total gross administrative budget,2017,,2980.7,
Total administrative budget,Total administrative budget,2017,,2495.8,
Total gross administrative budget,Total gross administrative budget,2018,,3064.1,
Operational units,Operational units Total,2018,,1649.1,
Total administrative budget,Total administrative budget,2018,,2527.9,
Total gross administrative budget,Total gross administrative budget,2019,,3176.7,
Operational units,Operational units Total,2019,,1744.6,
Total administrative budget,Total administrative budget,2019,,2602.5,
